"Elevation","area","area_acc_sum","prop","prop_acc_sum"
0.05,0.00652262253019988,0.00652262253019988,0.146020955,0.146020955
0.15,0.125060256193691,0.131582878723891,0.02014605,0.166167005
0.25,0.03312379128456,0.164706670008451,0.160913586,0.327080591
0.35,0.0202184502419585,0.184925120250409,0.021194521,0.348275112
0.45,0.0215005050041321,0.206425625254541,0.0049374,0.353212512
0.55,0.0700475059451045,0.276473131199646,0.281125829,0.634338341
0.65,0.0194926853347799,0.295965816534426,0.077050263,0.711388604
0.75,0.0309989936191801,0.326964810153606,0.029491338,0.740879942
0.85,0.125160283573123,0.452125093726729,1.682212806,2.423092748
0.95,0.0692765277803903,0.521401621507119,0.267713152,2.6908059
1.05,0.0568800935655604,0.57828171507268,0.248293625,2.939099525
1.15,0.195238787201676,0.773520502274356,1.12975442,4.068853945
1.25,0.130412445940522,0.903932948214878,0.592723676,4.661577621
1.35,0.19928198349734,1.10321493171222,0.364347353,5.025924974
1.45,0.268962742889493,1.37217767460171,0.794748035,5.820673009
1.55,0.173535094487914,1.54571276908962,0.668219379,6.488892388
1.65,0.282341579848971,1.8280543489386,0.728111602,7.21700399
1.75,0.330345073944635,2.15839942288323,1.091713157,8.308717147
1.85,0.239113852775266,2.3975132756585,0.654987982,8.963705129
1.95,0.157803135002158,2.55531641066065,0.625331587,9.589036716
2.05,0.345037825783731,2.90035423644438,1.031869604,10.62090632
2.15,0.283790354179806,3.18414459062419,0.600616848,11.221523168
2.25,0.556240559559374,3.74038515018356,1.200326385,12.421849553
2.35,0.580485585484016,4.32087073566758,1.676885359,14.098734912
2.45,0.439218664741818,4.7600894004094,0.723111834,14.821846746
2.55,0.232683795448998,4.9927731958584,0.718144844,15.53999159
2.65,0.256051860634002,5.2488250564924,1.420010328,16.960001918
2.75,0.319876088199504,5.5687011446919,1.030600466,17.990602384
2.85,0.244941818432385,5.81364296312429,0.587837788,18.578440172
2.95,0.563717345680543,6.37736030880483,1.181410267,19.759850439
3.05,0.159527426095951,6.53688773490078,0.47051072,20.230361159
3.15,0.118118149857503,6.65500588475829,0.283990584,20.514351743
3.25,0.715637791819364,7.37064367657765,2.146538378,22.660890121
3.35,0.276180274056139,7.64682395063379,1.161717162,23.822607283
3.45,1.05422053809673,8.70104448873052,0.601031902,24.423639185
3.55,0.210426694171772,8.91147118290229,1.141585251,25.565224436
3.65,0.258740329766701,9.17021151266899,1.174357172,26.739581608
3.75,0.308326747328838,9.47853825999783,0.533205601,27.272787209
3.85,0.237715442307085,9.71625370230491,0.54082702,27.813614229
3.95,0.361819914032907,10.0780736163378,1.24187538,29.055489609
4.05,0.160957031244718,10.2390306475825,0.414241079,29.469730688
4.15,0.194184199957861,10.4332148475404,0.747952777,30.217683465
4.25,0.259552570073767,10.6927674176142,0.944956009,31.162639474
4.35,0.208691889555245,10.9014593071694,0.614939736,31.77757921
4.45,0.192678170063417,11.0941374772328,0.717485174,32.495064384
4.55,0.979944411771661,12.0740818890045,1.293538204,33.788602588
4.65,0.621904593246065,12.6959864822506,0.304640296,34.093242884
4.75,0.250480386994709,12.9464668692453,0.650384485,34.743627369
4.85,0.266531913095816,13.2129987823411,0.834543194,35.578170563
4.95,0.148117422324403,13.3611162046655,0.677551093,36.255721656
5.05,0.157083859010002,13.5182000636755,0.488045345,36.743767001
5.15,0.217948916099463,13.7361489797749,0.607530328,37.351297329
5.25,0.163014019083916,13.8991629988589,0.300226237,37.651523566
5.35,0.230108795628999,14.1292717944879,0.529398736,38.180922302
5.45,0.198681324946445,14.3279531194343,1.072843459,39.253765761
5.55,1.01052212122839,15.3384752406627,0.619549353,39.873315114
5.65,0.185537914683217,15.5240131553459,0.54637987,40.419694984
5.75,0.218582986947546,15.7425961422935,0.816075907,41.235770891
5.85,0.125895353957029,15.8684914962505,0.254698507,41.490469398
5.95,0.132588269362478,16.001079765613,0.549351266,42.039820664
6.05,0.25364207796455,16.2547218435775,0.746971513,42.786792177
6.15,0.17813087835078,16.4328527219283,0.455398948,43.242191125
6.25,0.251382938698532,16.6842356606268,0.452041594,43.694232719
6.35,0.271226871548916,16.9554625321757,1.010888053,44.705120772
6.45,0.155020203987844,17.1104827361636,0.564660178,45.26978095
6.55,0.142932622905993,17.2534153590696,0.483587865,45.753368815
6.65,0.193109500493825,17.4465248595634,0.98394685,46.737315665
6.75,0.125004512171665,17.5715293717351,0.529929563,47.267245228
6.85,0.144748891734476,17.7162782634695,0.571632729,47.838877957
6.95,0.211677087834151,17.9279553513037,0.886800438,48.725678395
7.05,0.181359814108098,18.1093151654118,0.813732649,49.539411044
7.15,0.133925649205634,18.2432408146174,0.492139737,50.031550781
7.25,0.180848005336661,18.4240888199541,0.886804682,50.918355463
7.35,0.172501808333789,18.5965906282879,0.698117579,51.616473042
7.45,0.144850392566256,18.7414410208541,0.596854167,52.213327209
7.55,0.20440759698755,18.9458486178417,0.988955483,53.202282692
7.65,0.173731749353993,19.1195803671957,0.640184606,53.842467298
7.75,0.152156796857263,19.2717371640529,0.847241909,54.689709207
7.85,0.159365710902602,19.4311028749555,1.023918275,55.713627482
7.95,0.116511353396238,19.5476142283518,0.489377526,56.203005008
8.05,0.137009109534286,19.6846233378861,0.396228865,56.599233873
8.15,0.170639114693927,19.85526245258,0.796227418,57.395461291
8.25,0.167774440282304,20.0230368928623,0.750917436,58.146378727
8.35,0.110152643911404,20.1331895367737,0.376245289,58.522624016
8.45,0.170354990388787,20.3035445271625,0.968395074,59.49101909
8.55,0.0984457893242604,20.4019903164867,0.778011068,60.269030158
